дн,Время,Дисциплина,Недели
пн,9:00,Гигиена,"1,3,5,7,9,11"
,,Хир.стом,"2,4,6,8,10,12,13,14,15,16"
вт,13:10,Социология,1-12
ср,9:00,Философия,1-12
чт,13:10,Пат.физ,1-12
пт,9:00,Пропедевтика,1-9
,13:10,Пат.анат,"1,3,5,7,9,11"
,,Микробиология,"2,4,6,8,10,12,13,15"
сб,13:10,Профилактика,"1-4,6-13"
