дн,время,Предмет,Недели
пн,10:45,Психология,"1,3,5,7,9,11,13,15,17,18,19"
,,БХ,"2,4,6,8,10,12,14,16"
вт,13:10,История,"1,3,5,7,9,11,13-16"
,,АЯ,"2,4,6,8,10,12"
ср,9:00,ЛЯ,"2,4,6,8,10,12,14,16,17"
,,Морфология,"1,3,5,7,9,11,13,15"
чт,9:00,История,"1,3,5,7,9,11,15,16,17,18"
,,АЯ,"2,4,6,8,10,12"
пт,9:00,"УОКП","1-12,15-18"
,,История,"2,4,6,8,10,12,16-19"
,,АЯ,"1,3,5,7,9,11"
сб,13:10,"Биология","1,3,5,7,9,11,15,17"
,,Экология,"2,4,6,8"
,,Философия,"10,12,16,18"
