дн,время,Предмет,Недели
пн,10:45,ИЯ,"1,3,5,7,9,11"
,,БФ,"2,4,6,8"
,,МедКиб,"10,12,13,14"
,,Педагогика,"15,17"
вт,13:10,История,"1,3,5,7,9,11,15,16,17,18"
,,АЯ,"2,4,6,8,10,12"
ср,9:00,Право,"1,3,5,7,9,11,15,17"
,,ОЗОЖ,"2,4,6,8"
,,АСОМД,"10,12,16,18"
чт,9:00,ЛЯ,"1,3,5,7,9,11,15,17"
,,Морфология,"2,4,6,8,10,12,16,18"
пт,9:00,"УОКП","1-12,15-18"
,,Право,"1,3,5,7,9,11,15,17"
,,ОЗОЖ,"2,4,6,8"
,,АСОМД,"10,12,16,18"
сб,13:10,"Психология","2,4,6,8,10,12,16,18,19"
,,БХ,"1,3,5,7,9,11,15,17"
,,Физика,"1,3,7,9"
,,МедКиб,"11,13,14,15"
