День недели,Время,Дисциплина,"Недели (Без ""н"")"
Пн,9:00,ПатФиз,1-10
,10:55,ПатАнат,1-10
,10:55,ОКМ,"11, 12, 13, 14"
Вт,13:10,МикроБио,1-10
Ср,9:00,МикроБио,1-7
,10:55,Гигиена,"1, 3, 5, 7, 9-14"
,10:55,Философия,"2, 4, 6, 8"
Чт,13:10,НормФиз,1-12
,15:00,ТопАнат и ОпХир,1-10
Пт,9:00,Физ. Культура,1-12
,10:55,БЖД,1-10
,10:55,Гигиена,"11, 12, 13"
Сб,13:10,БиоХим,"1-4, 6-11"
